leaf_id,tree_species,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,leaf_orientation,leaf_sun_exposure,notes
MG01,Magnolia grandiflora,2023-06-26,08:59:32,194.2,18.8,LPS1782,2403809,47.8,22.6,S,Sun,Breezy
MG02,Magnolia grandiflora,2023-06-26,09:08:41,219.2,18,LPS1782,2403809,49,22.7,W,Sun,Breezy
MG03,Magnolia grandiflora,2023-06-26,09:16:26,166.7,17.8,LPS1782,2403809,43.7,19.5,W,Sun Flecks,Breezy
AM01,Acacia melanoxylon,2023-06-26,09:25:47,121.9,18.2,LPS1782,2403809,39.4,18.5,NW,Sun Flecks,Breezy
AM02,Acacia melanoxylon,2023-06-26,09:33:25,65.5,17.5,LPS1782,2403809,27.3,11.9,SW,Sun,Breezy
AM03,Acacia melanoxylon,2023-06-26,09:44:04,127.8,17.2,LPS1782,2403809,38.3,16.7,NE,Sun Flecks,Breezy
CM01,Crataegus monogyna,2023-06-26,09:51:06,183.4,17.3,LPS1782,2403809,45.7,21,E,Sun Flecks,Small Breeze
CM02,Crataegus monogyna,2023-06-26,10:00:02,125.3,17.8,LPS1782,2403809,38.6,17,NE,Sun,Small Breeze
CM03,Crataegus monogyna,2023-06-26,10:09:48,144.9,17.6,LPS1782,2403809,41.1,18.3,E,Sun Flecks,Small Breeze
AG01,Alnus glutinosa,2023-06-26,10:16:10,174.5,17.7,LPS1782,2403809,44.1,19.4,E,Sun Flecks,Breezy
AG02,Alnus glutinosa,2023-06-26,10:23:44,152.2,17.8,LPS1782,2403809,41.7,18.2,NE,Sun Flecks,Breezy
AG03,Alnus glutinosa,2023-06-26,10:30:43,205.9,17.7,LPS1782,2403809,46.7,20.4,N,Sun Flecks,Breezy
CA01,Corylus avellana,2023-06-26,10:41:10,185.5,18.7,LPS1782,2403809,45.8,20.4,SE,Sun Flecks,Breezy
CA02,Corylus avellana,2023-06-26,10:47:02,283.3,19.4,LPS1782,2403809,52.9,23.8,S,Sun Flecks,Breezy
CA03,Corylus avellana,2023-06-26,10:55:20,140.7,20.3,LPS1782,2403809,41.9,18.7,SE,Sun Flecks,Breezy
SF01,Salix x fragilis,2023-06-26,11:00:53,330.6,20.3,LPS1782,2403809,55.6,25.2,SE,Sun,Breezy
SF02,Salix x fragilis,2023-06-26,11:07:59,389.5,19.6,LPS1782,2403809,57.7,26.1,N,Sun Flecks,Breezy
SF03,Salix x fragilis,2023-06-26,11:15:59,389.6,19.3,LPS1782,2403809,57.5,26,SE,Sun Flecks,Breezy
BU01,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:22:48,160,19.2,LPS1782,2403809,44,20,E,Sun Flecks,Breezy
BU02,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:29:43,109.5,19.3,LPS1782,2403809,37.4,16.9,E,Sun Flecks,Breezy
BU03,Betula utilis var. jacquemontii 'Trinity College',2023-06-26,11:34:29,129.4,19.3,LPS1782,2403809,39.5,17,E,Sun Flecks,"Breezy,Rained"
GB01,Ginkgo biloba,2023-06-26,12:39:20,152.1,20.7,LPS1782,2104005,45.5,21.8,SE,Overcast,"Breezy,Dried leaf"
GB02,Ginkgo biloba,2023-06-26,12:44:51,144.9,20.5,LPS1782,2104005,44,20.4,S,Overcast,"Small Breeze,Dried leaf"
GB03,Ginkgo biloba,2023-06-26,12:50:17,222,20.1,LPS1782,2104005,51.2,24,SE,Overcast,"Small Breeze,Dried leaf"
QR01,Quercus robur,2023-06-26,12:57:04,304.5,19.2,LPS1782,2104005,55.6,26.1,NW,Overcast,"Small Breeze,Dried leaf"
QR02,Quercus robur,2023-06-26,13:02:30,266,18.6,LPS1782,2104005,53.2,24.8,NW,Overcast,"Small Breeze,Dried leaf"
QR03,Quercus robur,2023-06-26,13:09:03,347.9,18.5,LPS1782,2104005,57.2,26.9,NE,Overcast,"Small Breeze,Dried leaf"
AU01,Arbutus unedo,2023-06-26,13:17:52,224.8,19.4,LPS1782,2104005,51.3,24.3,E,Sun,Small Breeze
AU02,Arbutus unedo,2023-06-26,13:24:09,199.8,20.4,LPS1782,2104005,49.8,23.7,NE,Sun Flecks,Small Breeze
AU03,Arbutus unedo,2023-06-26,13:29:55,192.6,20.5,LPS1782,2104005,48.9,22.9,E,Sun,Small Breeze
AI01,Aesculus indica,2023-06-26,13:34:34,269.1,20.6,LPS1782,2104005,54.6,26.3,SE,Sun Flecks,Still
AI02,Aesculus indica,2023-06-26,13:39:29,103.7,20.3,LPS1782,2104005,38.6,18.2,E,Sun Flecks,Still
AI03,Aesculus indica,2023-06-26,13:44:38,267.9,21,LPS1782,2104005,54.3,25.9,SE,Sun,Small Breeze
JN01,Juglans nigra,2023-06-26,13:50:27,109.7,20.2,LPS1782,2104005,39.5,18.6,NE,Sun,Small Breeze
JN02,Juglans nigra,2023-06-26,13:57:34,108.3,19.9,LPS1782,2104005,39.2,18.3,N,Sun Flecks,Small Breeze
JN03,Juglans nigra,2023-06-26,14:04:21,114.2,19.7,LPS1782,2104005,40.8,19.9,SE,Sun Flecks,Small Breeze
DI01,Davidia involucrata var. vilmoriniana,2023-06-26,14:09:14,118.8,21.6,LPS1782,2104005,41.1,19.6,S,Sun,Small Breeze
DI02,Davidia involucrata var. vilmoriniana,2023-06-26,14:13:25,129.5,22.3,LPS1782,2104005,42.8,20.6,S,Sun Flecks,Small Breeze
DI03,Davidia involucrata var. vilmoriniana,2023-06-26,14:20:56,141.5,23.6,LPS1782,2104005,44.3,21.4,S,Sun,Small Breeze
MG01,Magnolia grandiflora,2023-06-27,10:34:59,183.6,22.1,LPS2225,2103911,50.4,26.5,S,Overcast,"Small Breeze,Started 10:36 due to porometer problems"
MG02,Magnolia grandiflora,2023-06-27,10:41:38,140.1,20.9,LPS2225,2103911,45.9,24,W,Overcast,Breezy
MG03,Magnolia grandiflora,2023-06-27,10:45:28,107.6,20.5,LPS2225,2103911,41.1,21.3,W,Overcast,Breezy
AM01,Acacia melanoxylon,2023-06-27,10:50:25,116.6,20.4,LPS2225,2103911,43.2,23,NW,Overcast,"Breezy,Leaf fell off so a new nearby leaf was chosen"
AM02,Acacia melanoxylon,2023-06-27,10:55:26,65.4,20.2,LPS2225,2103911,32.5,17.1,SW,Overcast,Breezy
AM03,Acacia melanoxylon,2023-06-27,11:00:38,73.7,20.3,LPS2225,2103911,34.2,17.7,NE,Overcast,Breezy
CM01,Crataegus monogyna,2023-06-27,11:04:13,137.8,20.6,LPS2225,2103911,45.3,23.5,E,Overcast,Breezy
CM02,Crataegus monogyna,2023-06-27,11:08:09,89.2,20.8,LPS2225,2103911,38.1,20.1,NE,Overcast,Breezy
CM03,Crataegus monogyna,2023-06-27,11:11:22,77.2,20.8,LPS2225,2103911,35.3,18.5,E,Overcast,Breezy
AG01,Alnus glutinosa,2023-06-27,11:14:03,152.8,20.8,LPS2225,2103911,46.7,23.9,E,Overcast,Breezy
AG02,Alnus glutinosa,2023-06-27,11:17:21,106.1,20.8,LPS2225,2103911,41,21.5,NE,Overcast,Breezy
AG03,Alnus glutinosa,2023-06-27,11:20:21,192.4,20.9,LPS2225,2103911,50.4,25.6,N,Overcast,Breezy
CA01,Corylus avellana,2023-06-27,11:24:28,163.1,20.9,LPS2225,2103911,47.4,23.9,SE,Overcast,Small Breeze
CA02,Corylus avellana,2023-06-27,11:29:27,208.8,20.8,LPS2225,2103911,51.9,26.5,S,Overcast,Small Breeze
CA03,Corylus avellana,2023-06-27,11:32:42,117.1,20.8,LPS2225,2103911,42.1,21.5,SE,Overcast,Small Breeze
SF01,Salix x fragilis,2023-06-27,11:37:15,312,20.8,LPS2225,2103911,57.7,29.3,SE,Overcast,Small Breeze
SF02,Salix x fragilis,2023-06-27,11:41:21,251.8,21.2,LPS2225,2103911,54.5,27.7,N,Overcast,Small Breeze
SF03,Salix x fragilis,2023-06-27,11:44:56,298.4,21.2,LPS2225,2103911,57,29,SE,Overcast,Small Breeze
BU01,Betula utilis var. jacquemontii 'Trinity College',2023-06-27,11:52:17,117.9,21,LPS2225,2103911,42.1,21.5,E,Overcast,Small Breeze
BU02,Betula utilis var. jacquemontii 'Trinity College',2023-06-27,11:55:35,91.4,20.8,LPS2225,2103911,37.9,19.5,E,Overcast,Small Breeze
BU03,Betula utilis var. jacquemontii 'Trinity College',2023-06-27,11:58:21,103.5,20.7,LPS2225,2103911,39.8,20.2,E,Overcast,Small Breeze
GB01,Ginkgo biloba,2023-06-27,12:04:37,157.2,20.7,LPS2225,2103911,47.7,24.9,SE,Overcast,Small Breeze
GB02,Ginkgo biloba,2023-06-27,12:08:21,206.3,20.8,LPS2225,2103911,51.6,26.4,S,Overcast,Small Breeze
GB03,Ginkgo biloba,2023-06-27,12:11:16,117.5,20.8,LPS2225,2103911,42.3,21.8,SE,Overcast,"Small Breeze,Leaf fell off so a new nearby leaf was chosen"
QR01,Quercus robur,2023-06-27,12:16:01,302.2,21,LPS2225,2103911,57.6,29.7,NW,Overcast,Small Breeze
QR02,Quercus robur,2023-06-27,12:21:16,286.6,20.7,LPS2225,2103911,56.6,28.8,NW,Overcast,Small Breeze
QR03,Quercus robur,2023-06-27,12:24:58,308.9,20.6,LPS2225,2103911,57.7,29.5,NE,Overcast,Small Breeze
AU01,Arbutus unedo,2023-06-27,12:28:41,196.7,20.6,LPS2225,2103911,51.2,26.4,E,Overcast,Small Breeze
AU02,Arbutus unedo,2023-06-27,12:31:59,154.7,20.8,LPS2225,2103911,46.5,23.4,NE,Overcast,Small Breeze
AU03,Arbutus unedo,2023-06-27,12:35:46,151.3,21.1,LPS2225,2103911,46.3,23.5,E,Overcast,Small Breeze
AI01,Aesculus indica,2023-06-27,12:38:31,137.5,21.2,LPS2225,2103911,45.4,23.6,SE,Overcast,Small Breeze
AI02,Aesculus indica,2023-06-27,12:41:36,50.3,21.3,LPS2225,2103911,28.4,15.3,E,Overcast,Small Breeze
AI03,Aesculus indica,2023-06-27,12:44:24,116.8,21.3,LPS2225,2103911,41.9,21.3,SE,Overcast,Small Breeze
JN01,Juglans nigra,2023-06-27,12:48:14,77.7,21.5,LPS2225,2103911,35.2,18.4,NE,Overcast,Small Breeze
JN02,Juglans nigra,2023-06-27,12:50:42,73.5,21.5,LPS2225,2103911,34.1,17.6,N,Overcast,Small Breeze
JN03,Juglans nigra,2023-06-27,12:52:52,115.6,21.3,LPS2225,2103911,42.6,22.4,SE,Overcast,Small Breeze
DI01,Davidia involucrata var. vilmoriniana,2023-06-27,12:57:43,183,21.2,LPS2225,2103911,49.7,25.4,S,Overcast,Small Breeze
DI02,Davidia involucrata var. vilmoriniana,2023-06-27,13:00:29,116.3,21.3,LPS2225,2103911,42.5,22.2,S,Overcast,Small Breeze
DI03,Davidia involucrata var. vilmoriniana,2023-06-27,13:03:04,110.3,21.4,LPS2225,2103911,40.1,19.7,S,Overcast,Small Breeze
PD01,Phoenix dactylifera,2023-06-27,13:07:45,105.7,21.4,LPS2225,2103911,39.9,20.1,S,Overcast,Small Breeze
PD02,Phoenix dactylifera,2023-06-27,13:11:20,90.4,21.2,LPS2225,2103911,37.9,19.7,SW,Overcast,"Small Breeze,Uncertain sensor was covered"
PD03,Phoenix dactylifera,2023-06-27,13:14:18,137.8,21.2,LPS2225,2103911,44.6,22.5,NW,Overcast,Small Breeze
WN01,Wollemia nobilis,2023-06-27,13:18:56,88.3,21.3,LPS2225,2103911,38.1,20.3,N,Overcast,"Small Breeze,Uncertain sensor was covered, two leaves clamped"
WN02,Wollemia nobilis,2023-06-27,13:21:55,75.8,21.8,LPS2225,2103911,34.9,18.3,S,Overcast,"Small Breeze,Uncertain sensor was covered, two leaves clamped"
WN03,Wollemia nobilis,2023-06-27,13:24:24,84.5,22,LPS2225,2103911,36.6,19,N,Overcast,"Small Breeze,Uncertain sensor was covered, two leaves clamped"
TT01,Tilia tomentosa,2023-06-27,13:28:20,123.5,22.1,LPS2225,2103911,43.4,22.5,W,Overcast,Small Breeze
TT02,Tilia tomentosa,2023-06-27,13:30:55,125.9,22.1,LPS2225,2103911,43.6,22.6,NW,Overcast,Small Breeze
TT03,Tilia tomentosa,2023-06-27,13:33:30,91.2,22.2,LPS2225,2103911,38,19.8,W,Overcast,Small Breeze
OC02,Ostrya carpinifolia,2023-06-27,13:36:16,189.1,22.2,LPS2225,2103911,50.6,26.3,SW,Overcast,Still
OC01,Ostrya carpinifolia,2023-06-27,13:39:06,171.9,22.2,LPS2225,2103911,49.2,25.7,NW,Overcast,Still
OC03,Ostrya carpinifolia,2023-06-27,13:41:46,216.8,22,LPS2225,2103911,52.6,27.1,W,Overcast,Still
MGL01,Metasequoia glyptosroboides,2023-06-27,13:45:59,105.1,22.2,LPS2225,2103911,40.5,21,SE,Overcast,Breezy
MGL02,Metasequoia glyptosroboides,2023-06-27,13:48:49,88.2,22.2,LPS2225,2103911,38.3,20.6,NW,Overcast,Breezy
MGL03,Metasequoia glyptosroboides,2023-06-27,13:51:55,148.8,22.2,LPS2225,2103911,46.5,24,W,Overcast,Breezy
SH01,Sorbus hibernica,2023-06-27,13:57:00,174.8,22.6,LPS2225,2103911,50,26.6,S,Overcast,Breezy
SH02,Sorbus hibernica,2023-06-27,14:00:00,214.3,22.4,LPS2225,2103911,52.3,26.8,SE,Overcast,Breezy
SH03,Sorbus hibernica,2023-06-27,14:02:47,208.1,22.3,LPS2225,2103911,52.8,28.1,S,Overcast,Breezy
CB03,Carpinus betulus,2023-06-27,14:15:40,177.6,23.1,LPS2225,2103911,49.6,25.8,S,Overcast,Breezy
CB02,Carpinus betulus,2023-06-27,14:18:29,193.4,23.1,LPS2225,2103911,50.7,26,SW,Overcast,Breezy
CB01,Carpinus betulus,2023-06-27,14:21:05,174,22.9,LPS2225,2103911,49.6,26.1,NW,Overcast,Breezy
CS01,Castanea sativa,2023-06-27,14:23:37,288.3,22.5,LPS2225,2103911,57.3,30.1,W,Overcast,Breezy
CS03,Castanea sativa,2023-06-27,14:26:50,208.3,22.3,LPS2225,2103911,52.6,27.8,SW,Overcast,Breezy
CS02,Castanea sativa,2023-06-27,14:30:58,81.6,22.4,LPS2225,2103911,37.4,20.5,SW,Overcast,Breezy
PD01,Phoenix dactylifera,2023-06-28,08:55:15,70,21.8,LPS2225,2303409,31.5,16.8,S,Overcast,"Small Breeze,Rain, dried leaf"
PD02,Phoenix dactylifera,2023-06-28,08:58:56,41,21.3,LPS2225,2303409,23.6,13.1,SW,Overcast,"Small Breeze,Rain, dried leaf, discard flourometer measurement,Discard flourometer measurement"
PD03,Phoenix dactylifera,2023-06-28,09:01:16,87.5,21.1,LPS2225,2303409,34.9,18.1,NW,Overcast,"Small Breeze,Rain, dried leaf, discard PhotsynQ measurement,Discard flouremeter measurement"
WN01,Wollemia nobilis,2023-06-28,09:07:30,88.9,21.4,LPS2225,2303409,36.3,19.7,N,Overcast,"Still,Dried leaf,Difficulty covering sensor"
WN02,Wollemia nobilis,2023-06-28,09:14:50,71.4,21.3,LPS2225,2303409,31.8,16.9,S,Overcast,"Still,Dried leaf,Difficulty covering sensor"
WN03,Wollemia nobilis,2023-06-28,09:27:33,82.6,21.7,LPS2225,2303409,34.2,18,N,Overcast,"Still,Dried leaf,Difficulty covering sensor"
TT01,Tilia tomentosa,2023-06-28,09:36:59,63.6,22.1,LPS2225,2303409,29.8,15.9,W,Overcast,"Small Breeze,Infected leaf"
TT02,Tilia tomentosa,2023-06-28,09:39:25,119.1,22.3,LPS2225,2303409,40.8,21.6,NW,Overcast,Small Breeze
TT03,Tilia tomentosa,2023-06-28,09:41:41,72.2,22.2,LPS2225,2303409,32.3,17.4,W,Overcast,Small Breeze
OC01,Ostrya carpinifolia,2023-06-28,09:44:53,108.8,22.2,LPS2225,2303409,38.5,19.9,NW,Overcast,Small Breeze
OC02,Ostrya carpinifolia,2023-06-28,09:47:13,105.2,22.1,LPS2225,2303409,38.3,20,SW,Overcast,"Very_Windy,Rain"
OC03,Ostrya carpinifolia,2023-06-28,09:49:26,119.5,21.9,LPS2225,2303409,40.4,21,W,Overcast,"Very_Windy,Rain"
MGL01,Metasequoia glyptosroboides,2023-06-28,10:40:29,167.5,19.6,LPS2225,2303409,45.5,23,SE,Overcast,"Small Breeze,Dried leaf"
MGL02,Metasequoia glyptosroboides,2023-06-28,10:44:14,170.5,18.7,LPS2225,2303409,45.4,23,NW,Overcast,"Small Breeze,Dried leaf"
MGL03,Metasequoia glyptosroboides,2023-06-28,10:48:08,142.2,17.9,LPS2225,2303409,41.7,20.9,W,Overcast,"Small Breeze,Dried leaf"
SH01,Sorbus hibernica,2023-06-28,10:51:11,125.1,17.7,LPS2225,2303409,39.8,20.4,S,Overcast,Small Breeze
SH02,Sorbus hibernica,2023-06-28,10:54:37,152.6,17.5,LPS2225,2303409,43.1,22,SE,Overcast,"Small Breeze,Dried leaf"
SH03,Sorbus hibernica,2023-06-28,10:57:51,162.7,17.6,LPS2225,2303409,44.2,22.6,S,Overcast,"Small Breeze,Dried leaf"
CB01,Carpinus betulus,2023-06-28,11:02:02,213.7,17.7,LPS2225,2303409,48.9,24.9,NW,Overcast,"Small Breeze,Dried leaf"
CB02,Carpinus betulus,2023-06-28,11:07:21,156,18.1,LPS2225,2303409,44,22.6,SW,Overcast,"Small Breeze,Dried leaf"
CB03,Carpinus betulus,2023-06-28,11:10:51,109.8,18.4,LPS2225,2303409,38.4,20.2,S,Overcast,"Small Breeze,Dried leaf"
CS01,Castanea sativa,2023-06-28,11:15:43,196.8,17.7,LPS2225,2303409,47,23.5,W,Overcast,"Small Breeze,Dried leaf"
CS02,Castanea sativa,2023-06-28,11:21:44,149.9,16.9,LPS2225,2303409,42.6,21.9,SW,Overcast,"Small Breeze,Dried leaf"
CS03,Castanea sativa,2023-06-28,11:25:36,138.8,16.6,LPS2225,2303409,40.8,20.7,SW,Overcast,"Small Breeze,Dried leaf"
MG01,Magnolia grandiflora,2023-06-28,11:30:30,271.6,16.4,LPS2225,2303409,52.1,26.5,S,Overcast,"Small Breeze,Drizzle, dried leaf"
MG02,Magnolia grandiflora,2023-06-28,11:34:39,164.4,17,LPS2225,2303409,44.4,22.8,W,Overcast,"Small Breeze,Drizzle, dried leaf"
MG03,Magnolia grandiflora,2023-06-28,11:38:07,184.9,17.2,LPS2225,2303409,46.9,24.4,W,Overcast,"Small Breeze,Drizzle, dried leaf"
AM01,Acacia melanoxylon,2023-06-28,12:05:33,176.8,19,LPS2225,2303409,46.9,24.4,NW,Overcast,"Small Breeze,Drizzle, dried leaf"
AM02,Acacia melanoxylon,2023-06-28,12:15:46,146.4,16.7,LPS2225,2303409,42.6,22.2,SW,Overcast,"Small Breeze,Drizzle, dried leaf"
AM03,Acacia melanoxylon,2023-06-28,12:19:33,53.9,16.6,LPS2225,2303409,26.7,15,NE,Overcast,"Small Breeze,Drizzle, dried leaf"
CM01,Crataegus monogyna,2023-06-28,12:23:02,143.7,16.3,LPS2225,2303409,41.7,21.4,E,Overcast,"Small Breeze,Drizzle"
CM02,Crataegus monogyna,2023-06-28,12:27:06,88.8,16,LPS2225,2303409,33.8,18,NE,Overcast,"Small Breeze,Drizzle"
CM03,Crataegus monogyna,2023-06-28,12:30:30,171.6,15.8,LPS2225,2303409,44.7,23.2,E,Overcast,"Small Breeze,Drizzle"
AG01,Alnus glutinosa,2023-06-28,12:35:11,189.1,16.3,LPS2225,2303409,46.5,23.9,E,Overcast,"Small Breeze,Dried leaf"
AG02,Alnus glutinosa,2023-06-28,12:39:18,245.5,16.7,LPS2225,2303409,50.9,26.1,NE,Overcast,"Small Breeze,Dried leaf"
AG03,Alnus glutinosa,2023-06-28,12:43:16,210.5,16.8,LPS2225,2303409,48.7,25.2,N,Overcast,"Small Breeze,Dried leaf"
CA01,Corylus avellana,2023-06-28,12:50:20,188.4,16.8,LPS2225,2303409,46.8,24.2,SE,Overcast,"Small Breeze,Dried leaf"
CA02,Corylus avellana,2023-06-28,12:54:08,220.9,17,LPS2225,2303409,49.5,25.5,S,Overcast,"Small Breeze,Dried leaf"
CA03,Corylus avellana,2023-06-28,12:57:53,160.3,17,LPS2225,2303409,42.9,21.2,SE,Overcast,"Small Breeze,Dried leaf"
