specimen_specie,leaf_id,lat,lon,date,time,gs,temp,sensor_serial_number,sensor_cal_number,leaf_sensor_rh,filter_sensor_rh,environment_rh,environment_temp,leaf_orientation,leaf_par,leaf_sun_exposure,leaf_appearance,notes
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-12,09:18:03,172.5,22.1,LPS2225,2303604,45.1,21,70,21,W,40.0,Full sun,Healthy,"Moved leaf horizontally,PAR retaken at 10:15 due to technical difficulties. The conditions had changed to shady during this time lapse."
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-13,09:06:07,195.5,22.2,LPS2225,2203604,47.1,21.8,70.5,22.7,W,45.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG01,53.3125,-6.25966666666667,2022-08-14,09:28:21,184.4,23,LPS2225,2203705,46.9,22,71.6,23.6,W,42.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-12,09:21:13,175.6,22.5,LPS2225,2303604,45.5,21.3,70,21,NW,25.0,Full sun,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-13,09:08:57,188,22.2,LPS2225,2203604,46.7,21.8,70.5,22.7,NW,230.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG02,53.3125,-6.25966666666667,2022-08-14,09:30:34,102,22.9,LPS2225,2203705,37.2,17.8,71.6,23.6,NW,53.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-12,09:23:26,142.5,22.4,LPS2225,2303604,42.6,20.5,70,21,NW,22.0,Full sun,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-13,09:11:18,155.6,22,LPS2225,2203604,44,21.1,70.5,22.7,NW,22.0,Sun flecks,Healthy,Moved leaf horizontally
Magnolia grandiflora,MG03,53.3125,-6.25966666666667,2022-08-14,09:32:26,148.4,22.8,LPS2225,2203705,43.6,20.9,71.6,23.6,NW,33.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-12,09:26:58,81.2,22.3,LPS2225,2303604,32.6,15.6,70,20.5,NW,10.0,Full sun,Healthy,"Moved leaf horizontally,PAR retaken at 10:16 due to technical difficulties. The conditions had changed to shady during this time lapse."
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-13,09:14:40,51.4,21.9,LPS2225,2203604,24.5,11.3,81.7,20.7,NW,7.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM01,53.3125555555556,-6.25983333333333,2022-08-14,09:35:11,65.6,22.9,LPS2225,2203705,29.6,14.2,78.4,21.5,NW,10.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-12,09:30:32,74,22.2,LPS2225,2303604,30.2,13.8,70,20.5,NW,10.0,Full sun,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-13,09:17:51,74.1,21.6,LPS2225,2203604,30.9,14.6,81.7,20.7,NW,9.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM02,53.3125555555556,-6.25983333333333,2022-08-14,09:37:51,75.9,22.8,LPS2225,2203705,31.8,15.1,78.4,21.5,NW,11.0,Full shade,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-12,09:32:18,73.5,22.3,LPS2225,2303604,30.6,14.4,70.5,20.5,NW,9.0,Full sun,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-13,09:19:50,73.1,21.5,LPS2225,2203604,30.8,14.6,81.7,20.7,NW,8.0,Sun flecks,Healthy,Moved leaf horizontally
Acacia melanoxylon,AM03,53.3125555555556,-6.25983333333333,2022-08-14,09:39:46,82.7,22.8,LPS2225,2203705,34.1,16.8,78.4,21.5,NW,11.0,Sun flecks,Healthy,Moved leaf horizontally
Crataegus monogyna,CM01,53.3124166666667,-6.25936111111111,2022-08-12,09:36:07,88.9,22,LPS2225,2303604,33.8,15.8,66,23.6,SE,10.0,Full sun,Brown flecks on leaf,"Moved leaf horizontally,PAR retaken at 10:19 due to technical difficulties. The conditions had changed to shady during this time lapse."
Crataegus monogyna,CM01,53.3124166666667,-6.25936111111111,2022-08-13,09:23:04,89.2,21.5,LPS2225,2203604,34.1,16.1,74.1,21.5,SE,69.0,Full sun,Brown flecks on leaf,Moved leaf horizontally
Crataegus monogyna,CM01,53.3124166666667,-6.25936111111111,2022-08-14,09:42:20,86.8,23,LPS2225,2203705,34.8,17,75.3,21.4,SE,12.0,Full shade,Brown flecks on leaf,Moved leaf horizontally
Crataegus monogyna,CM02,53.3124166666667,-6.25936111111111,2022-08-12,09:39:13,98.4,22.2,LPS2225,2303604,36,17.2,66,23.6,E,8.0,Full sun,Brown flecks on leaf,Moved leaf horizontally
Crataegus monogyna,CM02,53.3124166666667,-6.25936111111111,2022-08-13,09:25:55,123,21.6,LPS2225,2203604,39.5,18.5,74.1,21.5,E,20.0,Sun flecks,Brown flecks on leaf,Moved entire branch and leaf placed horizontally
Crataegus monogyna,CM02,53.3124166666667,-6.25936111111111,2022-08-14,09:44:57,111.7,23,LPS2225,2203705,39.2,19.2,75.3,21.4,E,95.0,Sun flecks,Brown flecks on leaf,Moved leaf horizontally
Crataegus monogyna,CM03,53.3124166666667,-6.25936111111111,2022-08-12,09:41:31,134.2,22.4,LPS2225,2303604,41.1,19.4,66,23.6,NE,12.0,Full sun,Brown flecks on leaf,Did not move
Crataegus monogyna,CM03,53.3124166666667,-6.25936111111111,2022-08-13,09:28:16,149.2,21.6,LPS2225,2203604,43,20.3,74.1,21.5,NE,32.0,Sun flecks,Brown flecks on leaf,Moved leaf horizontally
Crataegus monogyna,CM03,53.3124166666667,-6.25936111111111,2022-08-14,09:46:49,104.9,23,LPS2225,2203705,38.1,18.7,75.3,21.5,NE,55.0,Sun flecks,Brown flecks on leaf,Not moved
Alnus glutinosa,AG01,53.3123055555556,-6.25938888888889,2022-08-12,09:43:32,70.1,22.5,LPS2225,2303604,30.1,14.3,68,22.1,SE,13.0,Full sun,Healthy,"Moved horizontally, breeze, suspected porometer sensor not moved close enough to leaf axial.,PAR retaken at 10:22 due to technical difficulties. The conditions had changed to shady during this time lapse."
Alnus glutinosa,AG01,53.3123055555556,-6.25938888888889,2022-08-13,09:30:33,64.5,21.6,LPS2225,2203604,28.6,13.5,81.2,20.7,SE,11.0,Full shade,Healthy,Moved leaf horizontally
Alnus glutinosa,AG01,53.3123055555556,-6.25938888888889,2022-08-14,09:52:20,219.3,23.2,LPS2225,2203705,50,23.8,78.5,21.8,SE,89.0,Sun flecks,Reltively healthy,"Moved leaf horizontally,New AG01 chosen because original fell off. Closest leaf to the original was selected instead, however, this leaf is now facing a new direction (NW). The tree appears to have deterioted in helath- more leaves displaying a yellow colour."
Alnus glutinosa,AG02,53.3123055555556,-6.25938888888889,2022-08-12,09:45:50,284.4,22.5,LPS2225,2303604,53.1,24.7,68,22.1,SW,38.0,Sun fleck,Healthy,"Moved horizontally, breeze"
Alnus glutinosa,AG02,53.3123055555556,-6.25938888888889,2022-08-13,09:33:07,219.2,21.5,LPS2225,2203604,49.1,22.8,81.5,20.7,SW,46.0,Sun flecks,Healthy,Moved leaf horizontally
Alnus glutinosa,AG02,53.3123055555556,-6.25938888888889,2022-08-14,09:55:24,329.7,23.2,LPS2225,2203705,56.2,27,78.5,21.8,SW,84.0,Sun flecks,Reltively healthy,Moved leaf slightly horizontally
Alnus glutinosa,AG03,53.3123055555556,-6.25938888888889,2022-08-12,09:48:28,228.7,22.4,LPS2225,2303604,50,23.6,68,22.2,SW,49.0,Full sun,Healthy,Moved leaf horizontally
Alnus glutinosa,AG03,53.3123055555556,-6.25938888888889,2022-08-13,09:36:09,293.7,21.8,LPS2225,2203604,53.8,25.2,83.2,20.7,SW,50.0,Sun flecks,Healthy,Moved leaf horizontally
Alnus glutinosa,AG03,53.3123055555556,-6.25938888888889,2022-08-14,09:57:46,333.4,22.9,LPS2225,2203705,56.3,26.9,78.5,21.8,SW,95.0,Sun flecks,Reltively healthy,Moved leaf slightly horizontally
Corylus avellana,CA01,53.3122777777778,-6.25941666666667,2022-08-12,09:51:44,135.4,22.8,LPS2225,2303604,41.2,19.5,60,25.5,E,1500.0,Full sun,Healthy,"Moved leaf horizontally,PAR retaken at 10:24 due to technical difficulties. The conditions had changed to a mixture of full sun (CA01) and shady during this time lapse (CA02 & CA03)."
Corylus avellana,CA01,53.3122777777778,-6.25941666666667,2022-08-13,09:38:18,166.4,22.3,LPS2225,2203604,45.1,21.6,71.3,28.3,E,970.0,Full sun,Healthy,Not moved
Corylus avellana,CA01,53.3122777777778,-6.25941666666667,2022-08-14,10:00:30,159.8,22.7,LPS2225,2203705,45.3,22,77.2,21.9,E,90.0,Overcast,Healthy,"Moved leaf horizontally,Overcast, therefore, could not judge sun exposure accurately."
Corylus avellana,CA02,53.3122777777778,-6.25941666666667,2022-08-12,09:53:51,217,23.6,LPS2225,2303604,49.2,23.3,60,25.6,SE,43.0,Full sun,Healthy,Moved leaf horizontally
Corylus avellana,CA02,53.3122777777778,-6.25941666666667,2022-08-13,09:40:49,210.6,22.9,LPS2225,2203604,49,23.5,71.3,28.3,SE,490.0,Sun flecks,Healthy,Moved leaf horizontally
Corylus avellana,CA02,53.3122777777778,-6.25941666666667,2022-08-14,10:03:28,181.4,22.6,LPS2225,2203705,47.4,23,77.2,21.9,SE,50.0,Overcast,Healthy,Moved leaf horizontally
Corylus avellana,CA03,53.3122777777778,-6.25941666666667,2022-08-12,09:55:58,113.8,24.7,LPS2225,2303604,39.4,19.6,60,25.6,SE,200.0,Full sun,Evidence of herbivory,Moved leaf horizontally
Corylus avellana,CA03,53.3122777777778,-6.25941666666667,2022-08-13,09:43:13,173.1,23.8,LPS2225,2203604,46,22.2,71.3,28.3,SE,790.0,Full sun,Evidence of herbivory,Moved leaf horizontally
Corylus avellana,CA03,53.3122777777778,-6.25941666666667,2022-08-14,10:06:15,144.9,22.6,LPS2225,2203705,43.8,21.5,77.2,21.9,SE,62.0,Overcast,Evidence of herbivory,Moved leaf horizontally
Arbutus unedo,AU01,53.3118611111111,-6.25980555555556,2022-08-12,10:29:57,307.3,28.9,LPS2225,2303604,54.7,26.4,60.9,25.6,E,1690.0,Full sun,Healthy (immature leaf).,Moved leaf horizontally
Arbutus unedo,AU01,53.3118611111111,-6.25980555555556,2022-08-13,09:59:55,284.9,24.1,LPS2225,2203604,53.6,25.7,64.7,28.8,E,350.0,Sun flecks,Healthy (immature leaf).,Moved leaf slightly horizontally
Arbutus unedo,AU01,53.3118611111111,-6.25980555555556,2022-08-14,10:18:18,272.4,23,LPS2225,2203705,53.5,25.7,80.3,22.4,E,54.0,Overcast,Healthy (immature leaf).,"Moved leaf horizontally,Overcast, therefore, could not judge sun exposure accurately."
Arbutus unedo,AU02,53.3118611111111,-6.25980555555556,2022-08-12,10:32:16,269.2,29,LPS2225,2303604,52.2,24.6,60.9,25.9,NE,1600.0,Full sun,Healthy,Did not move
Arbutus unedo,AU02,53.3118611111111,-6.25980555555556,2022-08-13,10:03:39,340.7,24.5,LPS2225,2203604,56,26.6,64.7,28.8,NE,87.0,Sun flecks,Healthy,Not moved
Arbutus unedo,AU02,53.3118611111111,-6.25980555555556,2022-08-14,10:21:03,279.2,22.8,LPS2225,2203705,54,26.1,80.3,22.4,NE,80.0,Overcast,Healthy,Moved leaf horizontally
Arbutus unedo,AU03,53.3118611111111,-6.25980555555556,2022-08-12,10:36:17,417.9,28.7,LPS2225,2303604,59.1,28.7,60.9,26.6,NW,240.0,Full sun,Heathy,Moved leaf horizontally
Arbutus unedo,AU03,53.3118611111111,-6.25980555555556,2022-08-13,10:06:36,386.9,24.6,LPS2225,2203604,57.5,27,64.7,28.8,NW,1130.0,Full sun,Heathy,Moved leaf horizontally
Arbutus unedo,AU03,53.3118611111111,-6.25980555555556,2022-08-14,10:23:34,320.5,22.6,LPS2225,2203705,55.7,26.5,80.3,22.4,NW,80.0,Overcast,Heathy,Moved leaf horizontally
Juglans nigra,JN01,53.3118888888889,-6.26022222222222,2022-08-12,10:40:35,134.2,26.9,LPS2225,2303604,40.8,19.2,59.5,25.1,NW,13.0,Sun fleck,Healthy,"Moved leaf horizontally,The third terminal leaflet was selected."
Juglans nigra,JN01,53.3118888888889,-6.26022222222222,2022-08-13,10:44:48,150,24.5,LPS2225,2203604,42.2,19.2,69.6,22.7,NW,13.0,Sun flecks,Healthy,Moved entire branch and leaf placed horizontally
Juglans nigra,JN01,53.3118888888889,-6.26022222222222,2022-08-14,10:28:25,148.9,22.3,LPS2225,2203705,43.8,21.1,77.2,21.7,NW,12.0,Overcast,Healthy,"Moved entire branch and leaf placed horizontally,Overcast, therefore, could not judge sun exposure accurately. Leaflet JN03 fell, chose new leaflet in same position."
Juglans nigra,JN02,53.3118888888889,-6.26022222222222,2022-08-12,10:43:18,122.5,25.8,LPS2225,2303604,39.1,18.2,59.6,25.1,NW,15.0,Sun fleck,Healthy,Moved leaf horizontally
Juglans nigra,JN02,53.3118888888889,-6.26022222222222,2022-08-13,10:46:38,132.8,24.1,LPS2225,2203604,40.9,19.3,69.6,22.7,NW,12.0,Sun flecks,Healthy,Moved entire branch and leaf placed horizontally
Juglans nigra,JN02,53.3118888888889,-6.26022222222222,2022-08-14,10:30:45,97.7,22.2,LPS2225,2203705,37.2,18.5,77.2,21.7,NW,9.0,Overcast,Healthy,Moved entire branch and leaf placed horizontally
Juglans nigra,JN03,53.3118888888889,-6.26022222222222,2022-08-12,10:45:27,78.1,25.2,LPS2225,2303604,31.3,14.5,59.6,25.1,NW,17.0,Sun fleck,Healthy,Moved leaf horizontally
Juglans nigra,JN03,53.3118888888889,-6.26022222222222,2022-08-13,10:48:48,71.7,23.7,LPS2225,2203604,30.4,14.4,69.6,22.7,NW,5.0,Sun flecks,Healthy,Moved entire branch and leaf placed horizontally
Juglans nigra,JN03,53.3118888888889,-6.26022222222222,2022-08-14,10:36:36,190.2,21.9,LPS2225,2203705,48,23.1,77.2,21.7,NW,27.0,Overcast,Healthy,Not moved
Aesculus indica,AI01,53.3118611111111,-6.26036111111111,2022-08-12,10:50:13,90,24.3,LPS2225,2303604,33.7,15.7,62.4,22.4,S,16.0,Sun fleck,Healthy,Moved leaf horizontally
Aesculus indica,AI01,53.3118611111111,-6.26036111111111,2022-08-13,10:53:41,119.9,23,LPS2225,2203604,39,18.3,68.2,22.4,S,22.0,Sun flecks,Healthy,Not moved during placement but breeze
Aesculus indica,AI01,53.3118611111111,-6.26036111111111,2022-08-14,10:39:15,100,21.9,LPS2225,2203705,37.3,18.3,76,21.9,S,23.0,Overcast,Healthy,"Not moved,Overcast, therefore, could not judge sun exposure accurately."
Aesculus indica,AI02,53.3118611111111,-6.26036111111111,2022-08-12,10:53:21,232.3,23.9,LPS2225,2303604,50.6,24.4,62.4,22.4,SW,30.0,Sun fleck,Healthy,Moved leaf horizontally
Aesculus indica,AI02,53.3118611111111,-6.26036111111111,2022-08-13,10:56:46,99.4,22.7,LPS2225,2203604,36.1,17.2,68.2,22.4,SW,21.0,Sun flecks,Healthy,Moved entire branch and placed leaf horizontally
Aesculus indica,AI02,53.3118611111111,-6.26036111111111,2022-08-14,10:41:31,101.1,21.8,LPS2225,2203705,37.2,18,76,21.9,SW,15.0,Overcast,Healthy,Moved entire branch and placed leaf horizontally
Aesculus indica,AI03,53.3118611111111,-6.26036111111111,2022-08-12,10:55:46,197.9,23.6,LPS2225,2303604,47.8,22.7,62.4,22.4,NE,65.0,Sun fleck,Healthy,Moved leaf horizontally
Aesculus indica,AI03,53.3118611111111,-6.26036111111111,2022-08-13,10:58:34,218.7,22.6,LPS2225,2203604,49,22.9,68.7,22.2,NE,40.0,Sun flecks,Healthy,Moved entire branch and placed leaf horizontally
Aesculus indica,AI03,53.3118611111111,-6.26036111111111,2022-08-14,10:43:22,194.3,21.8,LPS2225,2203705,48.2,23.1,76,21.9,NE,49.0,Overcast,Healthy,Moved entire branch and placed leaf horizontally
Quercus robur,QR01,53.3119722222222,-6.25972222222222,2022-08-12,11:01:09,335,22.9,LPS2225,2303604,55.7,26.2,61.3,21.9,SW,40.0,Sun fleck,Light mildew,Moved entire branch
Quercus robur,QR01,53.3119722222222,-6.25972222222222,2022-08-13,11:03:29,335,22.7,LPS2225,2203604,55.6,26,73.3,21.9,SW,70.0,Sun flecks,Light mildew,Moved entire branch
Quercus robur,QR01,53.3119722222222,-6.25972222222222,2022-08-14,10:47:32,389.3,21.9,LPS2225,2203705,58.4,27.8,78.5,21.7,SW,110.0,Overcast,Light mildew,"Moved the entire branch,Began as overcast at 10:49, weather changed during the brak between readings to sunny. The porometer's dessicant had to be changed due to the high levels of humidity before readings could resume. Missing the third PAR reading."
Quercus robur,QR02,53.3119722222222,-6.25972222222222,2022-08-12,11:04:06,235.6,22.6,LPS2225,2303604,50.2,23.4,61.3,21.9,N,58.0,Sun fleck,Evidence of herbivory,Moved entire branch
Quercus robur,QR02,53.3119722222222,-6.25972222222222,2022-08-13,11:05:46,225.9,22.7,LPS2225,2203604,50.7,24.9,73.3,21.9,N,72.0,Sun flecks,Evidence of herbivory,Moved entire branch
Quercus robur,QR02,53.3119722222222,-6.25972222222222,2022-08-14,11:25:16,347,23.5,LPS2225,2203705,56.8,27.1,78.5,21.7,N,176.0,Sun flecks,Evidence of herbivory,Moved the entire branch
Quercus robur,QR03,53.3119722222222,-6.25972222222222,2022-08-12,11:06:56,377.4,22.4,LPS2225,2303604,57.5,27.2,61.3,21.9,NW,43.0,Sun fleck,Evidence of slight infection (unkown),Moved entire branch
Quercus robur,QR03,53.3119722222222,-6.25972222222222,2022-08-13,11:08:02,358.5,22.6,LPS2225,2203604,57.1,27.5,73.3,21.9,NW,74.0,Sun flecks,Evidence of slight infection (unkown),Moved entire branch
Quercus robur,QR03,53.3119722222222,-6.25972222222222,2022-08-14,11:28:30,348.8,23.1,LPS2225,2203705,57.1,27.5,78.5,21.7,NW,N/A,Sun flecks,Evidence of slight infection (unkown),Moved the entire branch
Ginkgo biloba,GB01,53.3123055555556,-6.25966666666667,2022-08-12,10:01:33,102.2,25.1,LPS2225,2303604,36,16.8,59.1,27.8,SE,1690.0,Full sun,Healthy,Moved leaf slightly horizontally
Ginkgo biloba,GB01,53.3123055555556,-6.25966666666667,2022-08-13,09:47:46,127.3,24.2,LPS2225,2203604,40.6,19.6,60.2,29.5,SE,1030.0,Full sun,Healthy,"Moved leaf slightly horizontally,A new leaf for GB03 had to be selected- original leaf fell off. A  new leaf, close to the intial leaf was chosen."
Ginkgo biloba,GB01,53.3123055555556,-6.25966666666667,2022-08-14,10:09:51,125.4,23.5,LPS2225,2203705,41.2,20.2,69.3,24.8,SE,203.0,Overcast,Healthy,"Not moved,Overcast, therefore, could not judge sun exposure accurately."
Ginkgo biloba,GB02,53.3123055555556,-6.25966666666667,2022-08-12,10:04:14,49.1,25.9,LPS2225,2303604,23.9,11.3,59.1,27.8,SE,1400.0,Full sun,Healthy,Moved leaf horizontally
Ginkgo biloba,GB02,53.3123055555556,-6.25966666666667,2022-08-13,09:50:57,72.1,24.2,LPS2225,2203604,30.5,14.5,60.2,29.5,SE,1130.0,Sun flecks,Healthy,Moved leaf horizontally
Ginkgo biloba,GB02,53.3123055555556,-6.25966666666667,2022-08-14,10:11:57,104.2,23.4,LPS2225,2203705,37.7,18.2,69.3,24.8,SE,119.0,Overcast,Healthy,Moved leaf horizontally
Ginkgo biloba,GB03,53.3123055555556,-6.25966666666667,2022-08-12,10:10:49,68.4,26.4,LPS2225,2303604,29.6,14.2,59.1,27.8,SE,1680.0,Full sun,Heathy,Moved leaf horizontally
Ginkgo biloba,GB03,53.3123055555556,-6.25966666666667,2022-08-13,09:54:57,123.1,24.4,LPS2225,2203604,39.7,18.9,60.2,29.5,SE,170.0,Sun flecks,Heathy,Moved leaf horizontally
Ginkgo biloba,GB03,53.3123055555556,-6.25966666666667,2022-08-14,10:14:21,102.1,23.3,LPS2225,2203705,37.4,18.2,69.3,24.8,SE,130.0,Overcast,Heathy,Moved leaf horizontally
Davidia involucrata var. vilmoriniana,DI01,53.3122777777778,-6.26027777777778,2022-08-12,11:31:07,142.6,26.9,LPS2225,2303604,42,19.9,48.8,30.3,NE,4080.0,Full sun,Healthy,Moved leaf horizontally
Davidia involucrata var. vilmoriniana,DI01,53.3122777777778,-6.26027777777778,2022-08-13,11:14:01,142,23.3,LPS2225,2203604,42.3,20.2,60,28.7,NE,1180.0,Full sun,Healthy,"Moved leaf horizontally, breeze"
Davidia involucrata var. vilmoriniana,DI01,53.3122777777778,-6.26027777777778,2022-08-14,11:32:43,196.4,24.3,LPS2225,2203705,48.4,23.3,65.6,31.5,NE,680.0,Full sun but half shaded by leaf,Healthy,Moved leaf horizontally
